# Volcado crudo Ui24R
# fecha: 2026-09-08T17:03:40.422Z
# host: 192.168.0.49
# handshake: 10483270107894192922:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10483270107894192922
# duracion objetivo: 30s
# etiqueta: ALIVE cada 1s, sin escrituras
# NOTA: esta sesion NO envio ningun SETD/SETS ni comando de mezcla. Solo framing de transporte.
# modo heartbeat: none   |   ALIVE cada: 1s (0 = nunca)

    64ms [MSG3] SETS^i.10.name^VOZ GAB
    64ms [MSG3] SETS^i.10.iosysname^
    64ms [MSG3] SETS^i.10.iosyscmd^
    64ms [MSG3] SETS^i.5.gate.prname^
    64ms [MSG3] SETS^i.5.dyn.prname^
    64ms [MSG3] SETS^i.5.name^
    64ms [MSG3] SETS^i.5.iosyscmd^
    64ms [MSG3] SETS^i.5.iosysname^
    64ms [MSG3] SETS^i.5.eq.prname^
    64ms [MSG3] SETS^i.5.src^hw.5
    64ms [MSG3] SETS^i.5.scsrc^ua.5
    64ms [MSG3] SETS^i.5.instrument^
    64ms [MSG3] SETS^i.4.dyn.prname^
    64ms [MSG3] SETS^i.4.gate.prname^
    64ms [MSG3] SETS^i.4.iosysname^
    64ms [MSG3] SETS^i.4.iosyscmd^
    64ms [MSG3] SETS^i.4.instrument^
    64ms [MSG3] SETS^i.4.name^
    64ms [MSG3] SETS^i.4.src^hw.4
    64ms [MSG3] SETS^i.4.scsrc^ua.4
    64ms [MSG3] SETS^i.4.eq.prname^
    64ms [MSG3] SETS^i.7.dyn.prname^
    64ms [MSG3] SETS^i.7.gate.prname^Voz bruno
    64ms [MSG3] SETS^i.7.name^VOZ MARCOS
    64ms [MSG3] SETS^i.7.src^hw.7
    64ms [MSG3] SETS^i.7.scsrc^ua.7
    64ms [MSG3] SETS^i.7.instrument^
    64ms [MSG3] SETS^i.7.eq.prname^Voz bruno
    64ms [MSG3] SETS^i.7.iosyscmd^
    64ms [MSG3] SETS^i.7.iosysname^
    64ms [MSG3] SETS^i.6.gate.prname^
    64ms [MSG3] SETS^i.6.dyn.prname^
    64ms [MSG3] SETS^i.6.name^
    64ms [MSG3] SETS^i.6.eq.prname^
    64ms [MSG3] SETS^i.6.iosysname^
    64ms [MSG3] SETS^i.6.iosyscmd^
    64ms [MSG3] SETS^i.6.instrument^
    64ms [MSG3] SETS^i.6.src^hw.6
    64ms [MSG3] SETS^i.6.scsrc^ua.6
    64ms [MSG3] SETS^i.1.eq.prname^
    64ms [MSG3] SETS^i.1.instrument^
    64ms [MSG3] SETS^i.1.scsrc^ub.1
    64ms [MSG3] SETS^i.1.src^hw.1
    64ms [MSG3] SETS^i.1.dyn.prname^
    64ms [MSG3] SETS^i.1.gate.prname^
    64ms [MSG3] SETS^i.1.name^BAJO OKU
    64ms [MSG3] SETS^i.1.iosyscmd^
    64ms [MSG3] SETS^i.1.iosysname^
    64ms [MSG3] SETS^i.0.dyn.prname^
    64ms [MSG3] SETS^i.0.eq.prname^
    64ms [MSG3] SETS^i.0.gate.prname^
    64ms [MSG3] SETS^i.3.gate.prname^
    64ms [MSG3] SETS^i.3.iosysname^
    64ms [MSG3] SETS^i.3.src^hw.3
    64ms [MSG3] SETS^i.3.scsrc^ub.3
    64ms [MSG3] SETS^i.3.instrument^
    64ms [MSG3] SETS^i.3.name^GTR BELTRAN
    64ms [MSG3] SETS^i.3.iosyscmd^
    64ms [MSG3] SETS^i.3.dyn.prname^
    64ms [MSG3] SETS^i.3.eq.prname^
    64ms [MSG3] SETS^i.2.gate.prname^
    64ms [MSG3] SETS^i.2.instrument^
    64ms [MSG3] SETS^i.2.src^hw.2
    64ms [MSG3] SETS^i.2.scsrc^ub.2
    64ms [MSG3] SETS^i.2.name^GRT BRUNO
    64ms [MSG3] SETS^i.2.iosysname^
    64ms [MSG3] SETS^i.2.iosyscmd^
    64ms [MSG3] SETS^i.2.dyn.prname^
    64ms [MSG3] SETS^i.2.eq.prname^Acoustic 1
    64ms [MSG3] SETS^m.name^MASTER
    64ms [MSG3] SETS^settings.block.pass^
    64ms [MSG3] SETS^settings.udpmsg^
    64ms [MSG3] SETS^settings.udpcoms^[]
    64ms [MSG3] SETS^settings.cascade.remote^
    64ms [MSG3] SETS^var.testcode^
    64ms [MSG3] SETS^var.mtk.rec.session^
    64ms [MSG3] SETS^var.rta^i.2
    64ms [MSG3] SETS^var.afsdata^fstack;;v1,4224.9633789062,-6.0000000000,7.0000000000,0,-53.8810386658,8,23,0,0,2,0,v1:v1,376.4693603516,-6.0000000000,7.0000000000,1,-59.8350601196,9,23,0,0,2,0,v1;fstack/fstack;;;fstack/fstack;;v1,199.9823455811,-6.0000000000,7.0000000000,1,-59.3547363281,17,23,0,0,2,0,v1;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstack;;;fstack/fstac…[+42B]
    65ms [MSG4] SETS^var.currentPlaylist^
    65ms [MSG4] SETS^var.currentTrack^
    65ms [MSG4] SETS^schema^6
    65ms [MSG4] SETS^flavour^1
    65ms [MSG4] SETS^type^8ch
    65ms [MSG4] SETS^var.currentShow^Prueba
    65ms [MSG4] SETS^var.currentSnapshot^Alma caninde
    65ms [MSG4] SETS^var.mtk.session^0002
    65ms [MSG4] SETS^var.currentCue^
    65ms [MSG4] SETS^i.0.instrument^
    65ms [MSG4] SETS^i.0.src^hw.0
    65ms [MSG4] SETS^i.0.scsrc^ua.0
    65ms [MSG4] SETS^i.0.iosyscmd^
    65ms [MSG4] SETS^i.0.iosysname^
    65ms [MSG4] SETS^m.afs.eq.1^376.4693603516,7.0000000000,-6.0000000000,2
    65ms [MSG4] SETS^m.afs.eq.0^4224.9633789062,7.0000000000,-6.0000000000,2
    65ms [MSG4] SETS^m.afs.eq.4^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.5^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.2^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.3^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.gate.prname^
    65ms [MSG4] SETS^i.0.name^GTR GAB
    65ms [MSG4] SETS^m.afs.eq.8^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.9^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.6^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.7^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.10^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.afs.eq.11^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG4] SETS^m.dyn.prname^Vtg Main Limit
    65ms [MSG4] SETS^m.eq.prname^
    65ms [MSG4] SETS^v.0.name^
    65ms [MSG4] SETS^v.1.name^
    65ms [MSG4] SETS^v.2.name^
    65ms [MSG4] SETS^mtk.out.17^none
    65ms [MSG4] SETS^mtk.scout.17^i.17
    65ms [MSG4] SETS^mtk.out.16^none
    65ms [MSG4] SETS^mtk.scout.16^i.16
    65ms [MSG4] SETS^mtk.out.19^none
    65ms [MSG4] SETS^mtk.scout.19^i.19
    65ms [MSG4] SETS^mtk.out.18^none
    65ms [MSG4] SETS^mtk.scout.18^i.18
    65ms [MSG4] SETS^mtk.out.21^none
    65ms [MSG4] SETS^mtk.scout.21^l.1
    65ms [MSG4] SETS^mtk.out.20^none
    65ms [MSG4] SETS^mtk.scout.20^l.0
    65ms [MSG4] SETS^v.5.name^
    65ms [MSG4] SETS^iso.ch^
    65ms [MSG4] SETS^iso.mtx^
    65ms [MSG4] SETS^iso.m^
    65ms [MSG4] SETS^iso.bus^
    65ms [MSG4] SETS^iso.fx^
    65ms [MSG4] SETS^iso.gr^
    65ms [MSG4] SETS^v.3.name^
    65ms [MSG4] SETS^v.4.name^
    65ms [MSG4] SETS^usbdaw.20.src^hw.10
    65ms [MSG4] SETS^usbdaw.21.src^hw.11
    65ms [MSG4] SETS^usbdaw.18.src^hw.8
    65ms [MSG4] SETS^usbdaw.19.src^hw.9
    65ms [MSG4] SETS^usbdaw.24.src^hw.14
    65ms [MSG4] SETS^usbdaw.25.src^hw.15
    65ms [MSG4] SETS^usbdaw.22.src^hw.12
    65ms [MSG4] SETS^usbdaw.23.src^hw.13
    65ms [MSG4] SETS^usbdaw.28.src^hw.18
    65ms [MSG4] SETS^usbdaw.29.src^hw.19
    65ms [MSG4] SETS^usbdaw.26.src^hw.16
    65ms [MSG4] SETS^usbdaw.27.src^hw.17
    65ms [MSG4] SETS^mtk.out.0^none
    65ms [MSG4] SETS^usbdaw.30.src^li.0
    65ms [MSG4] SETS^usbdaw.31.src^li.1
    65ms [MSG4] SETS^usbdaw.4.src^a.2
    65ms [MSG4] SETS^usbdaw.5.src^a.3
    65ms [MSG4] SETS^usbdaw.2.src^a.0
    65ms [MSG4] SETS^usbdaw.3.src^a.1
    65ms [MSG4] SETS^usbdaw.8.src^a.6
    65ms [MSG4] SETS^usbdaw.9.src^a.7
    65ms [MSG5] SETS^usbdaw.6.src^a.4
    65ms [MSG5] SETS^usbdaw.7.src^a.5
    65ms [MSG5] SETS^usbdaw.12.src^hw.2
    65ms [MSG5] SETS^usbdaw.13.src^hw.3
    65ms [MSG5] SETS^usbdaw.10.src^hw.0
    65ms [MSG5] SETS^usbdaw.11.src^hw.1
    65ms [MSG5] SETS^usbdaw.16.src^hw.6
    65ms [MSG5] SETS^usbdaw.17.src^hw.7
    65ms [MSG5] SETS^usbdaw.14.src^hw.4
    65ms [MSG5] SETS^usbdaw.15.src^hw.5
    65ms [MSG5] SETS^mtk.out.9^none
    65ms [MSG5] SETS^mtk.scout.9^i.9
    65ms [MSG5] SETS^mtk.out.8^none
    65ms [MSG5] SETS^mtk.scout.8^i.8
    65ms [MSG5] SETS^mtk.out.11^none
    65ms [MSG5] SETS^mtk.scout.11^i.11
    65ms [MSG5] SETS^mtk.out.10^none
    65ms [MSG5] SETS^mtk.scout.10^i.10
    65ms [MSG5] SETS^mtk.out.13^none
    65ms [MSG5] SETS^mtk.scout.13^i.13
    65ms [MSG5] SETS^mtk.out.12^none
    65ms [MSG5] SETS^mtk.scout.12^i.12
    65ms [MSG5] SETS^mtk.out.15^none
    65ms [MSG5] SETS^mtk.scout.15^i.15
    65ms [MSG5] SETS^mtk.out.14^none
    65ms [MSG5] SETS^mtk.scout.14^i.14
    65ms [MSG5] SETS^mtk.out.1^none
    65ms [MSG5] SETS^mtk.scout.1^i.1
    65ms [MSG5] SETS^mtk.scout.0^i.0
    65ms [MSG5] SETS^mtk.out.3^none
    65ms [MSG5] SETS^mtk.scout.3^i.3
    65ms [MSG5] SETS^mtk.out.2^none
    65ms [MSG5] SETS^mtk.scout.2^i.2
    65ms [MSG5] SETS^mtk.out.5^none
    65ms [MSG5] SETS^mtk.scout.5^i.5
    65ms [MSG5] SETS^mtk.out.4^none
    65ms [MSG5] SETS^mtk.scout.4^i.4
    65ms [MSG5] SETS^mtk.out.7^none
    65ms [MSG5] SETS^mtk.scout.7^i.7
    65ms [MSG5] SETS^mtk.out.6^none
    65ms [MSG5] SETS^mtk.scout.6^i.6
    65ms [MSG5] SETS^hwouthp.1.src^hp.1
    65ms [MSG5] SETS^hwoutaux.9.src^
    65ms [MSG5] SETS^hwouthp.0.src^hp.0
    65ms [MSG5] SETS^hwouthpdsp.0.src^hpdsp.0
    65ms [MSG5] SETS^hwouthp.2.src^hp.2
    65ms [MSG5] SETS^hwouthp.3.src^hp.3
    65ms [MSG5] SETS^hwouthpdsp.3.src^hpdsp.3
    65ms [MSG5] SETS^casc.0.src^
    65ms [MSG5] SETS^hwouthpdsp.1.src^hpdsp.1
    65ms [MSG5] SETS^hwouthpdsp.2.src^hpdsp.2
    65ms [MSG5] SETS^casc.2.src^
    65ms [MSG5] SETS^casc.3.src^
    65ms [MSG5] SETS^casc.1.src^
    65ms [MSG5] SETS^hwoutm.0.src^m.0
    65ms [MSG5] SETS^hwoutaux.0.src^a.0
    65ms [MSG5] SETS^hwoutm.1.src^m.1
    65ms [MSG5] SETS^hwoutaux.3.src^a.3
    65ms [MSG5] SETS^hwoutaux.4.src^a.4
    65ms [MSG5] SETS^hwoutaux.1.src^a.1
    65ms [MSG5] SETS^hwoutaux.2.src^a.2
    65ms [MSG5] SETS^hwoutaux.7.src^a.7
    65ms [MSG5] SETS^hwoutaux.8.src^
    65ms [MSG5] SETS^hwoutaux.5.src^a.5
    65ms [MSG5] SETS^hwoutaux.6.src^none
    65ms [MSG5] SETS^casc.22.src^
    65ms [MSG5] SETS^casc.23.src^
    65ms [MSG5] SETS^casc.20.src^
    65ms [MSG5] SETS^casc.21.src^
    65ms [MSG5] SETS^casc.26.src^
    65ms [MSG5] SETS^casc.27.src^
    65ms [MSG5] SETS^casc.24.src^
    65ms [MSG5] SETS^casc.25.src^
    65ms [MSG5] SETS^casc.30.src^
    65ms [MSG5] SETS^casc.31.src^
    65ms [MSG5] SETS^casc.28.src^
    65ms [MSG5] SETS^casc.29.src^
    65ms [MSG5] SETS^usbdaw.1.src^m.1
    65ms [MSG5] SETS^usbdaw.0.src^m.0
    65ms [MSG5] SETS^casc.6.src^
    65ms [MSG5] SETS^casc.7.src^
    65ms [MSG5] SETS^casc.4.src^
    65ms [MSG5] SETS^casc.5.src^
    65ms [MSG5] SETS^casc.10.src^
    65ms [MSG5] SETS^casc.11.src^
    65ms [MSG5] SETS^casc.8.src^
    65ms [MSG5] SETS^casc.9.src^
    65ms [MSG5] SETS^casc.14.src^
    65ms [MSG5] SETS^casc.15.src^
    65ms [MSG5] SETS^casc.12.src^
    65ms [MSG5] SETS^casc.13.src^
    65ms [MSG5] SETS^casc.18.src^
    65ms [MSG5] SETS^casc.19.src^
    65ms [MSG5] SETS^casc.16.src^
    65ms [MSG5] SETS^casc.17.src^
    65ms [MSG5] SETS^var.mtk.playsession^
    65ms [MSG5] SETS^firmware^3.4.8318-ui24
    65ms [MSG6] SETS^model^ui24
    65ms [MSG6] SETS^a.8.name^
    65ms [MSG6] SETS^a.7.afs.eq.6^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.7^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.4^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.5^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.10^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.11^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.8^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.9^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.eq.prname^
    65ms [MSG6] SETS^a.7.gate.prname^
    65ms [MSG6] SETS^a.7.afs.eq.2^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.3^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.0^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.afs.eq.1^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.dyn.prname^
    65ms [MSG6] SETS^a.6.afs.eq.11^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.6.afs.eq.9^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.6.afs.eq.10^1000.0000000000,116.0000000000,0.0000000000,0
    65ms [MSG6] SETS^a.7.name^
    65ms [MSG6] SETS^a.6.eq.prname^
    65ms [MSG6] SETS^a.6.afs.eq.0^1000.0000000000,116.0000000000,0.0000000000,0
