clave	veces	ultimo_valor
a.3.invert	1	0
a.3.link2master	1	0
a.3.matrix	1	0
a.3.mgmask	1	0
a.3.mix	1	0
a.3.mtx.0.mute	1	0
a.3.mtx.0.pan	1	0.5
a.3.mtx.0.postproc	1	1
a.3.mtx.0.value	1	0
a.3.mtx.1.mute	1	0
a.3.mtx.1.pan	1	0.5
a.3.mtx.1.postproc	1	1
a.3.mtx.1.value	1	0
a.3.mtx.2.mute	1	0
a.3.mtx.2.pan	1	0.5
a.3.mtx.2.postproc	1	1
a.3.mtx.2.value	1	0
a.3.mtx.3.mute	1	0
a.3.mtx.3.pan	1	0.5
a.3.mtx.3.postproc	1	1
a.3.mtx.3.value	1	0
a.3.mtx.4.mute	1	0
a.3.mtx.4.pan	1	0.5
a.3.mtx.4.postproc	1	1
a.3.mtx.4.value	1	0
a.3.mtx.5.mute	1	0
a.3.mtx.5.pan	1	0.5
a.3.mtx.5.postproc	1	1
a.3.mtx.5.value	1	0
a.3.mtx.6.mute	1	0
a.3.mtx.6.pan	1	0.5
a.3.mtx.6.postproc	1	1
a.3.mtx.6.value	1	0
a.3.mtx.7.mute	1	0
a.3.mtx.7.pan	1	0.5
a.3.mtx.7.postproc	1	1
a.3.mtx.7.value	1	0
a.3.mtx.8.mute	1	0
a.3.mtx.8.pan	1	0.5
a.3.mtx.8.postproc	1	1
a.3.mtx.8.value	1	0
a.3.mtx.9.mute	1	0
a.3.mtx.9.pan	1	0.5
a.3.mtx.9.postproc	1	1
a.3.mtx.9.value	1	0
a.3.mute	1	0
a.3.name	1	
a.3.pan	1	0.5
a.3.safe	1	0
a.3.solo	1	0
a.3.stereoIndex	1	-1
a.3.vca	1	-1
a.4.afs.clearall	1	0
a.4.afs.clearfixed	1	0
a.4.afs.clearlive	1	0
a.4.afs.cmode	1	0
a.4.afs.enabled	1	0
a.4.afs.eq.0	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.1	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.10	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.11	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.2	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.3	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.4	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.5	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.6	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.7	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.8	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.eq.9	1	1000.0000000000,116.0000000000,0.0000000000,0
a.4.afs.fmode	1	0
a.4.afs.livelift	1	0
a.4.afs.logic	1	1
a.4.afs.numfixed	1	6
a.4.afs.numtotal	1	12
a.4.afs.sensitivity	1	0.5
a.4.delay	1	0
a.4.dyn.attack	1	0.34375
a.4.dyn.bypass	1	0
a.4.dyn.gain	1	0.75
a.4.dyn.outgain	1	0.3334960938
a.4.dyn.prmod	1	0
a.4.dyn.prname	1	
a.4.dyn.ratio	1	1
a.4.dyn.release	1	0.4887695312
a.4.dyn.softknee	1	0
a.4.dyn.threshold	1	0.875
a.4.eq.bypass	1	0
a.4.eq.hpf	1	0
a.4.eq.linked	1	0
a.4.eq.lpf	1	1
a.4.eq.peak.0	1	0.5
a.4.eq.peak.1	1	0.5
a.4.eq.peak.10	1	0.5
a.4.eq.peak.11	1	0.5
a.4.eq.peak.12	1	0.5
a.4.eq.peak.13	1	0.5
a.4.eq.peak.14	1	0.5
a.4.eq.peak.15	1	0.5
a.4.eq.peak.16	1	0.5
a.4.eq.peak.17	1	0.5
a.4.eq.peak.18	1	0.5
a.4.eq.peak.19	1	0.5
a.4.eq.peak.2	1	0.5
a.4.eq.peak.20	1	0.5
a.4.eq.peak.21	1	0.5
a.4.eq.peak.22	1	0.5
a.4.eq.peak.23	1	0.5
a.4.eq.peak.24	1	0.5
a.4.eq.peak.25	1	0.5
a.4.eq.peak.26	1	0.5
a.4.eq.peak.27	1	0.5
a.4.eq.peak.28	1	0.5
a.4.eq.peak.29	1	0.5
a.4.eq.peak.3	1	0.5
a.4.eq.peak.30	1	0.5
a.4.eq.peak.4	1	0.5
a.4.eq.peak.5	1	0.5
a.4.eq.peak.6	1	0.5
a.4.eq.peak.7	1	0.5
a.4.eq.peak.8	1	0.5
a.4.eq.peak.9	1	0.5
a.4.eq.prmod	1	0
a.4.eq.prname	1	
a.4.forceunmute	1	0
